show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"A medida que su padre se acerca al final de su vida, la cineasta Kirsten Johnson escenifica su muerte de manera ingeniosa y cómica para ayudarlos a ambos a enfrentar lo inevitable."
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","Después de cruzarse en una fiesta, una adolescente de Ciudad del Cabo se propone demostrar si una estrella de la natación de una escuela privada es su hermana, que fue secuestrada al nacer."
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Para proteger a su familia de un poderoso narcotraficante, el hábil ladrón Mehdi y su experto equipo de ladrones se ven envueltos en una violenta y mortal guerra territorial."
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","En esta cruda serie de telerrealidad, las peleas, los coqueteos y las conversaciones sobre el baño ocurren entre las mujeres encarceladas en el Centro de Justicia de Orleans en Nueva Orleans."
s5,TV Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","En una ciudad de centros de entrenamiento conocida por formar a las mejores mentes universitarias de la India, un estudiante serio pero nada excepcional y sus amigos navegan por la vida universitaria."
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","La llegada de un joven sacerdote carismático trae gloriosos milagros, siniestros misterios y un renovado fervor religioso a un pueblo moribundo y desesperado por creer."
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",,"September 24, 2021",2021,PG,91 min,Children & Family Movies,"Equestria está dividida. Pero una heroína de ojos brillantes cree que los ponis terrestres, los pegasos y los unicornios deberían ser amigos y, con las pezuñas al corazón, está decidida a demostrarlo."
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","En una sesión de fotos en Ghana, una modelo estadounidense retrocede en el tiempo, es esclavizada en una plantación y es testigo de la agonía de su pasado ancestral."
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","Un talentoso grupo de panaderos aficionados se enfrentan en una competencia de 10 semanas, preparando sus mejores platos con la esperanza de ser nombrados los mejores del Reino Unido."
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",Una mujer que se adapta a la vida después de una pérdida se enfrenta a un pájaro luchador que se ha apoderado de su jardín y a un marido que lucha por encontrar una manera de seguir adelante.
